id|name|country code|district|population
3100|Kiel|DEU|Schleswig-Holstein|233795
3101|Oberhausen|DEU|Nordrhein-Westfalen|222349
3102|Lübeck|DEU|Schleswig-Holstein|213326
3103|Hagen|DEU|Nordrhein-Westfalen|205201
3104|Rostock|DEU|Mecklenburg-Vorpomme|203279
3105|Freiburg im Breisgau|DEU|Baden-Württemberg|202455
3106|Erfurt|DEU|Thüringen|201267
3107|Kassel|DEU|Hessen|196211
3108|Saarbrücken|DEU|Saarland|183836
3109|Mainz|DEU|Rheinland-Pfalz|183134
3110|Hamm|DEU|Nordrhein-Westfalen|181804
3835|Tulsa|USA|Oklahoma|393049
3836|Omaha|USA|Nebraska|390007
3837|Minneapolis|USA|Minnesota|382618
3838|Honolulu|USA|Hawaii|371657
3839|Miami|USA|Florida|362470
3840|Colorado Springs|USA|Colorado|360890
3841|Saint Louis|USA|Missouri|348189
3842|Wichita|USA|Kansas|344284
3843|Santa Ana|USA|California|337977
3844|Pittsburgh|USA|Pennsylvania|334563
3845|Arlington|USA|Texas|332969
